poses,scores,contact_pts
"['-0.24582800931035353','0.5804458282714275','0.9937813726243813','1.5844120347656363','-0.08386224368498718','2.5000156443797805']", 0.0, "['0.0','0.0','0.0']"
"['-0.2600602407194777','0.568290801608949','1.072223454548149','1.5844120347656363','-0.08386224368498718','2.5000156443797805']", 0.0, "['0.0','0.0','0.0']"
"['0.05306718949344574','0.4434983836223289','1.1244364759769456','-1.5868117952141674','0.08822444097763205','-0.9654327885037269']", 0.0, "['0.0','0.0','0.0']"
"['0.05856398817277507','0.44181919269174075','1.0000335279772048','-1.5868117952141674','0.08822444097763205','-0.9654327885037269']", 0.0, "['0.0','0.0','0.0']"
"['0.0701141838609017','0.4460165636831496','1.1329046792124946','1.8833965208382484','-0.17092252131806407','2.3016417116134655']", 0.0, "['0.0','0.0','0.0']"
"['0.07074957440876116','0.4454211873978129','1.0017297293562044','1.8833965208382484','-0.17092252131806407','2.3016417116134655']", 0.0, "['0.0','0.0','0.0']"
"['-0.2820118896124716','0.7898450191137605','1.0449783697088577','-1.9257621521142394','-0.02255224513549381','2.3742327042108653']", 0.0, "['0.0','0.0','0.0']"
"['-0.27622601916337','0.7954591839818705','1.146374984665385','-1.9257621521142394','-0.02255224513549381','2.3742327042108653']", 0.0, "['0.0','0.0','0.0']"
"['-0.27662722992189315','0.7238854797258374','1.2296103196579975','3.105210750514896','-0.18864892442739833','1.9803606243119498']", 0.0, "['0.0','0.0','0.0']"
"['-0.25615649209683417','0.6617826921942249','1.2174376872582267','3.105210750514896','-0.18864892442739833','1.9803606243119498']", 0.0, "['0.0','0.0','0.0']"
"['0.14914156048370747','0.8147485747429002','1.2127362064052565','3.096606709381684','0.12956197051527285','0.8860782613416022']", 0.0, "['0.0','0.0','0.0']"
"['0.3870215831854096','0.8131068724710271','1.0675500450857434','3.096606709381684','0.12956197051527285','0.8860782613416022']", 0.0, "['0.0','0.0','0.0']"
"['0.3188536077063222','0.7428634135710123','1.1126076332618977','3.1268170011999508','0.3979764883944936','-2.933203672703281']", 0.0, "['0.0','0.0','0.0']"
"['0.1388875432681838','0.7600328641095471','1.216287185936445','3.1268170011999508','0.3979764883944936','-2.933203672703281']", 0.0, "['0.0','0.0','0.0']"
"['-0.15294368703307748','0.6747714413197052','0.9860953855295579','-1.7487668998960777','-0.09436782092182394','0.881394976207241']", 0.0, "['0.0','0.0','0.0']"
"['-0.1660752991256872','0.6925182381802377','1.1266012858224188','-1.7487668998960777','-0.09436782092182394','0.881394976207241']", 0.0, "['0.0','0.0','0.0']"
"['0.10942063307940847','0.4515406621191378','0.9855827156921851','-1.6213595480978484','-0.09564237358648753','0.507180016481125']", 0.0, "['0.0','0.0','0.0']"
"['0.1733599707000696','0.5223614760321293','1.0372481565783969','-1.6213595480978484','-0.09564237358648753','0.507180016481125']", 0.0, "['0.0','0.0','0.0']"
"['0.17491095667882697','0.5349053342056003','1.112637782071818','-1.7310685410694742','-0.004975763910935793','1.4053101732085131']", 0.0, "['0.0','0.0','0.0']"
"['0.15485386576874594','0.6122415106010353','0.9882871409193227','-1.7310685410694742','-0.004975763910935793','1.4053101732085131']", 0.0, "['0.0','0.0','0.0']"
